MXDnsResponse,TXTDnsResponse,HasSPFInfo,HasDmarcInfo,DomainInAlexaDB,CommonPorts,CreationDate,LastUpdateDate,HttpResponseCode,RegisteredOrg,SubdomainNumber,Entropy,EntropyOfSubDomains,StrangeCharacters,TLD,IpReputation,ConsonantRatio,NumericRatio,SpecialCharRatio,VowelRatio,ConsonantSequence,VowelSequence,NumericSequence,SpecialCharSequence,DomainLength,Class
0,0,0,0,0,0,0,0,0,0,0,4,0,15,496,0,0.6,0.1,0.0,0.2,6,1,3,0,116,1
0,0,0,0,0,0,0,0,0,0,0,4,0,5,496,0,0.6,0.1,0.0,0.2,5,4,1,0,79,1
0,0,0,0,0,0,0,0,0,0,0,4,0,20,496,0,0.6,0.1,0.0,0.2,8,3,2,1,152,1
0,0,0,0,0,0,0,0,0,0,0,4,0,20,496,0,0.6,0.2,0.0,0.2,8,2,2,0,133,1
0,0,0,0,0,0,0,0,0,0,0,4,0,17,496,0,0.6,0.1,0.0,0.2,8,2,2,1,150,1
0,0,0,0,0,0,0,0,0,0,0,4,0,22,496,0,0.6,0.2,0.0,0.1,10,3,2,0,148,1
0,0,0,0,0,0,0,0,0,0,0,4,0,13,496,0,0.6,0.1,0.0,0.2,9,3,1,0,144,1
0,0,0,0,0,0,0,0,0,0,0,4,0,22,496,0,0.6,0.2,0.0,0.1,13,3,2,1,153,1
0,0,0,0,0,0,0,0,0,0,0,4,0,18,496,0,0.6,0.1,0.0,0.2,16,2,2,0,144,1
0,0,0,0,0,0,0,0,0,0,0,4,0,30,496,0,0.6,0.2,0.0,0.1,7,2,4,0,151,1
0,0,0,0,0,0,0,0,0,0,0,4,0,14,496,0,0.6,0.1,0.0,0.2,11,2,2,1,133,1
0,0,0,0,0,0,0,0,0,0,0,4,0,23,496,0,0.6,0.2,0.0,0.2,10,2,2,0,142,1
0,0,0,0,0,0,0,0,0,0,0,4,0,19,496,0,0.7,0.1,0.0,0.1,11,2,2,0,150,1
0,0,0,0,0,0,0,0,0,0,0,4,0,23,496,0,0.6,0.2,0.0,0.2,8,2,3,1,153,1
0,0,0,0,0,0,0,0,0,0,0,4,0,19,496,0,0.6,0.1,0.0,0.2,7,2,2,1,150,1
0,0,0,0,0,0,0,0,0,0,0,4,0,19,496,0,0.6,0.1,0.0,0.2,6,1,4,1,138,1
0,0,0,0,0,0,0,0,0,0,0,4,0,14,496,0,0.6,0.1,0.0,0.2,7,3,2,0,148,1
0,0,0,0,0,0,0,0,0,0,0,4,0,20,496,0,0.6,0.1,0.0,0.1,14,1,2,0,153,1
0,0,0,0,0,0,0,0,0,0,0,4,0,8,496,0,0.6,0.1,0.0,0.2,9,2,2,0,85,1
0,0,0,0,0,0,0,0,0,0,0,4,0,15,496,0,0.7,0.1,0.0,0.1,10,2,2,0,137,1
0,1,1,1,0,0,0,4,0,1,0,0,0,61,189,0,0.0,0.0,0.9,0.0,2,0,1,61,66,1
0,0,0,0,0,0,4,4,4,1,0,0,0,21,127,0,0.1,0.1,0.8,0.0,1,1,1,21,27,1
0,0,0,0,0,0,4,4,4,1,0,0,0,16,127,0,0.1,0.1,0.7,0.0,1,1,1,16,22,1
0,0,0,0,0,0,4,4,4,1,0,1,0,9,127,0,0.1,0.1,0.6,0.1,1,1,1,9,15,1
0,0,0,0,0,0,0,4,2,1,0,0,0,61,578,0,0.0,0.0,0.9,0.0,1,1,1,58,66,1
1,1,0,0,0,0,0,4,0,1,0,3,0,1,635,0,0.6,0.0,0.1,0.3,2,2,0,1,19,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,128,0,0.5,0.0,0.0,0.3,2,1,0,0,21,0
0,0,0,0,0,1,3,2,4,1,0,3,0,0,127,0,0.5,0.0,0.0,0.4,2,2,0,0,19,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,128,0,0.5,0.0,0.0,0.3,2,1,0,0,19,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,91,0,0.6,0.0,0.0,0.3,2,2,0,0,18,0
0,1,1,1,0,1,0,0,0,0,0,3,0,0,33,1,0.6,0.0,0.0,0.3,2,1,0,0,18,0
0,1,1,1,0,1,0,4,2,1,0,2,0,0,127,0,0.6,0.0,0.0,0.3,2,1,0,0,10,0
0,0,0,0,0,0,4,4,2,1,0,2,0,0,127,1,0.6,0.0,0.0,0.3,2,1,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,3,0,2,127,0,0.4,0.2,0.0,0.2,2,1,4,0,16,0
0,1,1,0,0,0,0,4,2,1,0,3,0,0,551,0,0.7,0.0,0.0,0.2,3,1,0,0,16,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,127,0,0.6,0.0,0.0,0.4,3,1,0,0,25,0
0,0,0,0,0,1,4,4,2,1,0,3,0,0,127,0,0.6,0.1,0.0,0.3,3,1,1,0,14,0
0,0,0,0,0,0,0,0,0,0,0,4,0,2,127,0,0.5,0.2,0.0,0.2,4,1,4,0,22,0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,127,0,0.6,0.0,0.1,0.3,3,2,0,1,18,0
0,0,0,0,0,1,4,4,2,1,0,2,0,0,127,0,0.5,0.0,0.0,0.4,2,2,0,0,12,0
1,1,1,0,0,1,4,4,2,1,0,2,0,0,504,0,0.8,0.0,0.0,0.2,6,1,0,0,12,0
1,1,1,0,0,1,0,4,2,1,1,2,0,0,40,0,0.4,0.0,0.0,0.4,1,2,0,0,9,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,127,0,0.7,0.0,0.0,0.2,4,1,0,0,24,0
0,0,0,0,0,0,4,4,2,1,0,2,0,0,465,0,0.7,0.0,0.0,0.2,3,1,0,0,9,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,127,0,0.7,0.0,0.0,0.3,3,1,0,0,18,0
0,0,0,0,0,0,0,4,2,1,0,3,0,0,164,0,0.5,0.0,0.0,0.4,2,2,0,0,17,0
0,0,1,0,0,1,0,4,2,1,0,2,0,0,419,0,0.6,0.0,0.0,0.3,2,2,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,4,0,9,287,0,0.5,0.1,0.1,0.3,5,2,6,1,59,0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,681,0,0.6,0.0,0.0,0.3,3,1,0,1,26,0
1,0,0,0,0,0,4,4,4,1,0,3,0,0,127,0,0.6,0.0,0.0,0.3,4,2,0,0,24,0
1,0,0,0,0,0,2,2,2,1,0,3,0,0,127,0,0.5,0.0,0.0,0.4,4,2,1,0,26,0
0,1,1,1,0,1,0,4,2,1,0,3,0,0,254,0,0.6,0.0,0.0,0.3,2,1,0,0,12,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,127,0,0.6,0.1,0.0,0.2,3,1,1,0,13,0
0,0,0,0,0,0,4,4,2,1,0,3,0,0,133,0,0.6,0.0,0.0,0.3,2,1,0,0,23,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,364,0,0.6,0.0,0.0,0.3,3,2,0,0,32,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,127,0,0.5,0.1,0.0,0.4,3,2,1,0,17,0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,127,0,0.7,0.0,0.0,0.3,3,1,0,1,23,0
0,0,0,0,0,1,4,4,2,1,0,3,0,0,127,0,0.6,0.0,0.0,0.3,3,1,0,0,18,0
0,0,0,0,0,1,4,4,4,1,0,3,0,0,127,1,0.6,0.0,0.0,0.3,3,2,0,0,29,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,127,0,0.6,0.0,0.0,0.4,3,2,0,0,22,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,504,0,0.6,0.0,0.0,0.2,4,1,0,0,17,0
0,0,0,1,0,0,0,0,0,0,0,2,0,0,356,0,0.5,0.0,0.0,0.4,4,2,0,0,12,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,127,0,0.5,0.0,0.0,0.4,2,2,0,0,14,0
0,1,0,0,0,1,4,4,2,1,0,2,0,0,574,0,0.3,0.0,0.0,0.6,1,2,0,0,7,0
0,0,0,0,0,0,0,4,0,1,0,2,0,0,385,0,0.5,0.0,0.0,0.5,2,1,0,0,13,0
0,0,0,0,0,0,4,4,2,1,0,3,0,0,127,0,0.6,0.0,0.0,0.3,3,2,0,0,29,0
0,0,0,0,0,1,3,3,0,1,0,3,0,0,641,0,0.6,0.0,0.0,0.3,3,2,0,0,15,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,123,0,0.6,0.0,0.0,0.3,6,1,0,0,30,0
1,0,0,0,0,1,4,4,2,1,0,3,0,0,127,0,0.6,0.0,0.0,0.3,3,1,0,0,22,0
0,0,0,0,0,0,4,4,2,1,0,3,0,0,430,0,0.6,0.0,0.0,0.3,3,1,0,0,15,0
0,1,1,0,0,0,4,4,2,1,0,3,0,0,129,0,0.6,0.0,0.0,0.3,4,2,0,0,25,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,127,0,0.6,0.0,0.0,0.4,2,2,0,0,16,0
0,0,0,0,0,0,0,4,2,1,0,3,0,0,576,0,0.6,0.0,0.0,0.3,2,1,0,0,19,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,127,0,0.5,0.0,0.0,0.4,2,2,0,0,14,0
0,0,0,0,0,0,0,0,0,0,0,2,0,1,504,0,0.5,0.0,0.1,0.4,3,3,0,1,14,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,504,0,0.5,0.0,0.0,0.4,2,2,0,0,23,0
1,0,0,0,0,1,4,4,2,1,0,2,0,0,127,1,0.5,0.0,0.0,0.4,2,2,0,0,12,0
0,0,0,0,0,0,0,4,2,1,0,3,0,0,482,0,0.6,0.0,0.0,0.3,2,2,0,0,15,0
0,0,0,0,1,0,0,4,0,1,0,3,0,0,127,0,0.6,0.0,0.0,0.3,3,1,0,0,32,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,127,0,0.6,0.0,0.0,0.3,3,2,0,0,15,0
0,0,0,0,0,0,4,4,0,1,0,3,0,0,356,0,0.5,0.0,0.0,0.5,1,2,0,0,13,0
0,0,0,0,0,1,4,4,2,1,0,3,0,0,127,1,0.7,0.0,0.0,0.2,4,1,0,0,11,0
0,0,0,0,0,0,0,0,0,0,0,4,0,7,127,0,0.5,0.0,0.1,0.3,4,2,0,1,74,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,127,0,0.6,0.0,0.0,0.3,3,2,0,0,10,0
0,0,0,0,0,1,4,4,2,1,0,3,0,0,127,0,0.5,0.0,0.0,0.4,2,2,0,0,22,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,127,0,0.6,0.0,0.0,0.3,3,2,0,0,20,0
0,0,0,0,0,1,4,4,4,1,0,3,0,0,504,0,0.5,0.0,0.0,0.4,2,2,0,0,26,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,465,0,0.6,0.0,0.0,0.3,2,1,0,0,14,0
0,0,0,0,0,0,0,1,2,1,0,3,0,0,127,0,0.5,0.0,0.0,0.4,1,1,0,0,11,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,127,0,0.6,0.0,0.0,0.3,4,2,0,0,26,0
1,0,0,0,0,1,0,2,2,1,0,3,0,0,461,0,0.6,0.0,0.0,0.4,3,2,0,0,17,0
0,0,0,0,0,0,0,0,0,0,0,4,0,5,127,0,0.5,0.1,0.1,0.3,3,2,2,1,38,0
0,0,0,0,0,1,0,4,2,1,0,3,0,1,133,0,0.6,0.0,0.0,0.3,2,2,0,1,27,0
0,0,0,0,0,0,3,3,0,1,0,4,0,8,127,0,0.6,0.1,0.0,0.2,5,2,1,0,95,0
0,0,0,0,0,0,0,4,0,1,0,3,0,0,364,0,0.6,0.0,0.0,0.3,3,1,0,0,22,0
0,1,1,1,0,1,0,4,2,1,0,3,0,1,186,0,0.5,0.0,0.1,0.3,2,2,0,1,12,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,127,0,0.6,0.1,0.0,0.3,3,1,2,0,29,0
0,1,1,0,0,0,4,4,2,1,0,2,0,0,127,0,0.6,0.0,0.0,0.3,2,1,0,0,10,0
1,0,0,0,0,0,0,4,2,1,1,3,0,0,465,0,0.5,0.0,0.0,0.4,2,2,0,0,13,0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,127,0,0.6,0.0,0.0,0.3,3,2,0,1,39,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,641,0,0.5,0.0,0.0,0.4,3,2,0,0,18,0
0,0,0,0,0,1,4,4,2,1,0,3,0,0,127,1,0.5,0.0,0.0,0.5,2,2,0,0,11,0
0,0,0,0,0,0,4,4,2,1,1,3,0,0,504,0,0.5,0.0,0.0,0.4,2,2,0,0,14,0
0,0,0,0,0,1,4,4,2,1,0,3,0,0,127,0,0.6,0.0,0.0,0.3,3,1,0,0,17,0
0,0,0,0,0,1,4,4,2,1,0,2,0,0,250,1,0.6,0.0,0.0,0.3,2,2,0,0,9,0
0,0,0,0,0,1,4,4,2,0,0,2,0,1,128,0,0.5,0.0,0.1,0.3,1,1,0,1,13,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,504,0,0.5,0.0,0.0,0.4,2,3,0,0,31,0
0,0,0,0,0,1,0,4,2,1,0,3,0,0,127,0,0.6,0.0,0.0,0.4,2,1,0,0,17,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,504,0,0.5,0.0,0.0,0.5,2,2,0,0,22,0
0,0,0,0,1,0,0,0,0,0,3,3,0,0,348,0,0.5,0.0,0.0,0.4,3,1,0,0,17,0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,127,0,0.6,0.0,0.0,0.3,2,2,0,1,23,0
0,0,0,0,0,1,0,4,2,1,0,3,0,1,551,0,0.6,0.0,0.1,0.2,3,1,0,1,14,0
0,0,1,0,0,0,0,4,2,1,0,2,0,0,127,1,0.6,0.0,0.0,0.3,2,1,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,127,0,0.6,0.0,0.0,0.4,3,2,0,0,26,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,575,0,0.7,0.0,0.0,0.3,3,1,0,0,15,0
0,0,0,0,0,1,4,4,2,1,0,3,0,0,77,0,0.6,0.0,0.0,0.3,4,1,0,0,14,0
0,0,0,0,0,0,0,2,2,1,0,3,0,0,551,0,0.6,0.0,0.0,0.3,2,1,0,0,14,0
0,0,0,0,0,0,4,4,2,1,0,2,0,0,127,0,0.5,0.0,0.0,0.4,2,2,0,0,14,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,133,0,0.5,0.0,0.0,0.4,2,2,0,0,20,0
0,0,0,1,0,0,0,0,0,0,0,3,0,0,127,0,0.6,0.0,0.0,0.3,4,2,0,0,22,0
0,0,0,0,0,1,4,4,2,1,0,3,0,0,133,0,0.7,0.0,0.0,0.2,3,1,0,0,20,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,48,0,0.7,0.0,0.0,0.2,7,2,0,0,18,0
0,0,0,0,0,1,4,4,2,1,0,3,0,2,127,0,0.6,0.0,0.1,0.3,3,2,0,1,23,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,356,0,0.5,0.0,0.0,0.4,2,1,0,0,11,0
0,0,0,0,0,0,4,4,2,1,0,2,0,0,127,0,0.7,0.0,0.0,0.2,3,1,0,0,13,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,127,0,0.7,0.1,0.0,0.2,5,2,1,0,19,0
1,0,0,0,0,0,4,4,2,1,0,3,0,0,465,0,0.6,0.0,0.0,0.3,4,2,0,0,16,0
0,1,1,0,0,0,4,4,2,1,0,2,0,0,127,0,0.6,0.2,0.0,0.1,3,1,2,0,9,0
0,1,1,0,0,0,4,4,2,1,0,2,0,0,127,0,0.5,0.0,0.0,0.4,2,1,0,0,11,0
0,0,0,0,0,1,0,4,0,1,0,2,0,0,385,0,0.4,0.0,0.0,0.5,2,2,0,0,13,0
0,0,0,0,0,1,0,1,2,1,0,2,0,0,364,0,0.5,0.0,0.0,0.4,2,2,0,0,15,0
0,0,0,0,0,1,4,4,2,1,0,2,0,0,99,0,0.6,0.0,0.0,0.3,2,1,0,0,14,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,127,0,0.6,0.0,0.0,0.3,2,1,0,0,24,0
0,1,1,0,0,0,4,4,2,1,0,2,0,0,127,0,0.5,0.0,0.0,0.4,2,2,0,0,12,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,641,0,0.6,0.0,0.0,0.3,5,2,0,0,17,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,504,0,0.5,0.0,0.0,0.4,3,2,0,0,26,0
1,1,1,0,0,1,4,4,4,1,0,3,0,0,127,0,0.6,0.0,0.0,0.3,3,1,0,0,16,0
0,0,0,0,0,1,4,4,2,1,0,3,0,0,127,0,0.7,0.0,0.0,0.3,4,1,0,0,20,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,504,0,0.5,0.0,0.0,0.4,4,2,0,0,35,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,177,0,0.5,0.0,0.0,0.4,1,2,0,0,21,0
0,0,0,0,1,0,0,0,0,0,10,3,0,0,238,0,0.6,0.0,0.0,0.3,3,1,0,0,27,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,504,0,0.6,0.0,0.0,0.3,3,2,0,0,12,0
1,1,1,1,0,1,4,4,2,1,0,2,0,0,127,0,0.5,0.0,0.0,0.4,2,1,0,0,13,0
1,1,1,0,0,0,4,4,4,1,0,3,0,0,139,0,0.6,0.0,0.0,0.3,4,1,0,0,18,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,127,0,0.6,0.0,0.0,0.4,3,2,0,0,17,0
1,1,1,0,0,0,4,4,2,1,0,3,0,1,127,0,0.5,0.1,0.1,0.2,2,1,2,1,15,0
1,1,1,0,0,1,0,4,2,1,0,3,0,0,129,1,0.4,0.0,0.0,0.4,3,2,0,0,16,0
0,0,0,0,0,1,4,4,0,1,0,2,0,0,127,0,0.7,0.0,0.0,0.2,4,1,0,0,11,0
0,0,0,0,0,0,0,0,0,0,0,2,0,1,482,0,0.6,0.0,0.1,0.3,3,3,0,1,16,0
0,0,0,0,0,0,0,4,0,1,0,2,0,0,127,1,0.8,0.0,0.0,0.1,5,1,0,0,9,0
1,0,0,0,1,1,4,4,2,1,0,2,0,1,127,0,0.6,0.0,0.1,0.3,2,2,0,1,17,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,127,0,0.6,0.0,0.0,0.3,3,2,0,0,12,0
1,1,1,0,0,1,0,4,2,1,0,3,0,0,127,1,0.5,0.0,0.0,0.4,2,2,0,0,13,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,551,0,0.6,0.1,0.0,0.2,2,1,1,0,12,0
1,1,1,0,0,1,0,3,2,1,0,3,0,0,482,0,0.6,0.0,0.0,0.3,2,2,0,0,16,0
1,0,0,0,0,1,4,4,2,1,0,3,0,0,127,0,0.5,0.0,0.0,0.4,2,3,0,0,16,0
0,0,0,0,1,1,0,4,4,1,2,3,0,4,578,0,0.4,0.4,0.0,0.1,2,1,5,0,16,0
1,1,1,1,0,0,4,4,4,1,0,2,0,0,133,0,0.5,0.0,0.0,0.3,2,2,0,0,13,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,133,0,0.6,0.0,0.0,0.4,2,2,0,0,25,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,133,0,0.6,0.0,0.0,0.4,2,1,0,0,28,0
0,1,1,1,1,0,0,4,2,1,0,2,0,0,127,0,0.5,0.0,0.0,0.4,3,1,0,0,11,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,127,0,0.6,0.0,0.0,0.4,2,1,0,0,18,0
1,0,0,0,0,0,0,4,0,1,0,3,0,0,127,1,0.5,0.0,0.0,0.4,3,2,0,0,16,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,385,0,0.5,0.0,0.0,0.4,3,2,0,0,15,0
0,1,1,0,0,0,4,4,2,1,0,3,0,0,127,0,0.6,0.0,0.0,0.4,2,1,0,0,22,0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,127,0,0.4,0.2,0.0,0.3,1,1,3,0,17,0
1,1,1,0,0,1,0,1,2,1,0,3,0,1,186,0,0.6,0.0,0.0,0.3,3,2,0,1,23,0
1,1,1,1,0,1,0,4,2,1,0,3,0,0,40,0,0.5,0.0,0.0,0.4,2,2,0,0,15,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,127,0,0.5,0.0,0.0,0.4,3,2,0,0,11,0
1,0,0,0,0,0,4,4,2,1,0,3,0,0,127,0,0.6,0.0,0.0,0.3,4,2,0,0,14,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,465,0,0.6,0.0,0.0,0.3,3,1,0,0,19,0
1,0,0,0,0,0,0,4,2,1,0,2,0,0,123,0,0.5,0.0,0.0,0.4,2,1,0,0,14,0
1,0,0,0,0,1,0,4,2,1,1,3,0,1,465,0,0.5,0.0,0.1,0.4,3,1,0,1,16,0
0,0,0,0,0,0,3,3,2,1,0,2,0,0,127,0,0.6,0.0,0.0,0.4,4,2,0,0,14,0
0,0,0,0,0,0,4,4,2,1,0,2,0,0,127,0,0.6,0.0,0.0,0.3,3,1,0,0,11,0
0,0,0,0,0,0,0,0,0,0,3,3,0,0,127,0,0.6,0.0,0.0,0.3,3,1,0,0,13,0
1,1,1,0,0,0,4,4,2,0,0,3,0,0,128,0,0.5,0.0,0.0,0.5,2,2,0,0,20,0
0,0,0,0,0,1,0,4,2,1,0,3,0,0,127,1,0.6,0.0,0.0,0.3,3,2,0,0,13,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,399,0,0.5,0.0,0.0,0.4,3,2,0,0,12,0
1,0,0,0,0,1,4,4,2,1,0,3,0,0,127,0,0.6,0.0,0.0,0.4,2,1,0,0,14,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,133,0,0.5,0.0,0.0,0.4,2,3,0,0,21,0
1,0,0,0,0,1,0,4,2,1,0,1,0,0,285,1,0.7,0.0,0.0,0.2,2,1,0,0,9,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,127,0,0.5,0.0,0.0,0.4,2,1,0,0,13,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,77,0,0.6,0.0,0.0,0.4,2,1,0,0,14,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,465,0,0.5,0.0,0.0,0.4,3,2,0,0,21,0
1,1,1,1,0,0,4,3,2,1,0,2,0,0,127,0,0.6,0.0,0.0,0.3,2,1,0,0,13,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,254,0,0.6,0.0,0.0,0.3,3,2,0,0,21,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,397,0,0.4,0.0,0.0,0.4,2,2,0,0,23,0
1,0,0,0,0,0,0,4,5,1,0,2,0,0,482,0,0.7,0.0,0.0,0.2,5,2,0,0,15,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,465,0,0.6,0.0,0.0,0.3,2,1,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,681,0,0.6,0.2,0.0,0.1,3,1,2,0,11,0
1,1,1,0,0,1,3,3,0,1,0,3,0,0,133,0,0.6,0.0,0.0,0.3,2,1,0,0,20,0
1,1,1,0,0,0,0,4,2,1,0,3,0,0,559,1,0.6,0.0,0.0,0.3,2,1,0,0,12,0
1,1,1,0,0,0,0,4,4,1,0,3,0,0,112,0,0.5,0.0,0.0,0.3,2,1,0,0,13,0
0,0,0,0,0,0,0,0,0,0,0,2,0,2,127,0,0.5,0.3,0.0,0.1,3,1,3,0,15,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,465,0,0.6,0.0,0.0,0.4,2,1,0,0,28,0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,574,0,0.5,0.0,0.0,0.4,2,2,0,1,21,0
1,1,1,0,0,0,0,0,2,0,1,3,0,0,127,1,0.6,0.0,0.0,0.3,2,1,0,0,16,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,127,0,0.5,0.0,0.0,0.4,2,2,1,0,22,0
1,1,1,1,0,0,0,4,2,1,0,3,0,1,551,0,0.7,0.0,0.1,0.2,4,2,0,1,15,0
1,1,1,0,0,1,4,3,2,1,0,2,0,0,133,0,0.5,0.0,0.0,0.4,2,2,0,0,17,0
